article_number,source_id,title,journal,year,doi,source_url,pdf_url,access_type,priority_tier,local_pdf_filename,file_size_bytes,content_sha256,canonical_source_id,duplicate_of,processing_status,title_identification_method,candidate_match_score,title_verified,needs_human_check,ready_for_parsing,parsed_text_present,notes
001,001_addma_2019_316l_fatigue_orientation_surface_roughness,Fatigue behavior of additive manufactured 316L stainless steel parts_ Effects of layer orientation and surface roughness,Additive Manufacturing,2019,10.1016/j.addma.2019.04.011,https://doi.org/10.1016/j.addma.2019.04.011,,unknown,,001_addma_2019_316l_fatigue_orientation_surface_roughness.pdf.pdf,5431610,79e3804a48baf6c241c3b7776f1c4fc6fea1e8014707437ded7fa3165226f342,001_addma_2019_316l_fatigue_orientation_surface_roughness,,canonical,pdf_title_only,0.6109,False,True,True,True,Manifest records metadata only; the PDF itself is not included.
002,002_jmpt_2023_ti64_processing_defect_fatigue,Process qualification of laser powder bed fusion based on processing-defect structure-fatigue properties in Ti-6Al-4V,Journal of Materials Processing Technology,2023,10.1016/j.jmatprotec.2022.117775,https://doi.org/10.1016/j.jmatprotec.2022.117775,,unknown,,002_jmpt_2023_ti64_processing_defect_fatigue.pdf.pdf,5592244,c0e1289069775df835dc5f63740a17e993d2b146e23b6bc274142a6b37e19d27,002_jmpt_2023_ti64_processing_defect_fatigue,,canonical,pdf_title_only,0.6079,False,True,True,True,Manifest records metadata only; the PDF itself is not included.
003,003_addma_2024_ti64_size_dependent_fatigue,On the size-dependent fatigue behaviour of laser powder bed fusion Ti-6Al-4V,Additive Manufacturing,2024,10.1016/j.addma.2023.103922,https://doi.org/10.1016/j.addma.2023.103922,,unknown,,003_addma_2024_ti64_size_dependent_fatigue.pdf,6351387,d02515f79d5f19728594451e5ab769a3c4c415a75b82b82b119e7824e6f6abea,003_addma_2024_ti64_size_dependent_fatigue,,canonical,pdf_title_only,0.662,False,True,True,True,Manifest records metadata only; the PDF itself is not included.
004,004_progaddmanuf_2022_316l_energy_density_porosity_tensile,The effect of energy density and porosity structure on tensile properties of 316L stainless steel produced by laser powder bed fusion,Progress in Additive Manufacturing,2022,10.1007/s40964-022-00281-y,https://doi.org/10.1007/s40964-022-00281-y,,unknown,,004_progaddmanuf_2022_316l_energy_density_porosity_tensile.pdf.pdf,4228338,62ea5cb1bb1299752ca4779b08b5d4f17feb97c8ec03f8dedc6cf4056f95a99d,004_progaddmanuf_2022_316l_energy_density_porosity_tensile,,canonical,pdf_title_only,0.6332,False,True,True,True,Manifest records metadata only; the PDF itself is not included.
005,005_jmpt_2017_316l_slm_parameters_mechanical_properties,Effect of selective laser melting (SLM) process parameters on microstructure and mechanical properties of 316L austenitic stainless steel,Journal of Materials Processing Technology,2015,10.1016/j.jmatprotec.2017.05.042,https://doi.org/10.1016/j.jmatprotec.2017.05.042,,unknown,,005_jmpt_2017_316l_slm_parameters_mechanical_properties.pdf,1586002,ce5cfb2d9a561c25de0852035a42a1f328d7b568d86de1177315851f7c641ee2,005_jmpt_2017_316l_slm_parameters_mechanical_properties,,canonical,pdf_title_only,0.6138,False,True,True,True,Manifest records metadata only; the PDF itself is not included.
006,006_progaddmanuf_2025_alsi10mg_pore_types_tensile_fatigue,Impact of different pore types on the tensile and fatigue properties of AlSi10Mg parts produced by laser powder bed fusion,Progress in Additive Manufacturing,2025,10.1007/s40964-025-01288-x,https://doi.org/10.1007/s40964-025-01288-x,,unknown,,006_progaddmanuf_2025_alsi10mg_pore_types_tensile_fatigue.pdf.pdf,2066702,a72ae23e2a4929b0daef2546ba76c62fddb7438119b4a965ba2d52e3c8c6cfc5,006_progaddmanuf_2025_alsi10mg_pore_types_tensile_fatigue,,canonical,pdf_title_only,0.633,False,True,True,True,Manifest records metadata only; the PDF itself is not included.
007,007_progaddmanuf_2025_alsi10mg_fatigue_orientation_heat_surface,"Fatigue response of AlSi10Mg by laser powder bed fusion: influence of build orientation, heat, and surface treatments",Progress in Additive Manufacturing,2025,10.1007/s40964-024-00712-y,https://doi.org/10.1007/s40964-024-00712-y,,unknown,,007_progaddmanuf_2025_alsi10mg_fatigue_orientation_heat_surface.pdf.pdf,4630934,d856811821321823dd0ec32bb8c2efae12a963b2b858ce37e1238d2bd5d2a7f7,007_progaddmanuf_2025_alsi10mg_fatigue_orientation_heat_surface,,canonical,pdf_title_only,0.5952,False,True,True,True,Manifest records metadata only; the PDF itself is not included.
008,008_jmpt_2015_ti64_fatigue_resistance_ductility,"Kasperovich a , ∗ , Joachim",Journal of Materials Processing Technology,2015,10.1016/j.jmatprotec.2015.01.025,https://doi.org/10.1016/j.jmatprotec.2015.01.025,,unknown,,008_jmpt_2015_ti64_fatigue_resistance_ductility.pdf,5213430,5a4e003ca4cb6394814bddec6445a44e36be4c57e142f24be3a908f064f6eaa5,008_jmpt_2015_ti64_fatigue_resistance_ductility,,canonical,pdf_title_only,0.3,False,True,True,True,Manifest records metadata only; the PDF itself is not included.
009,009_progaddmanuf_2021_316l_residual_stress_fatigue_strength,Effect of residual stress on fatigue strength of 316L stainless steel produced by laser powder bed fusion process,Progress in Additive Manufacturing,2021,10.1007/s40964-021-00164-8,https://doi.org/10.1007/s40964-021-00164-8,,unknown,,009_progaddmanuf_2021_316l_residual_stress_fatigue_strength.pdf.pdf,1579442,509af7ce1d4fa5e3161a326ee1d31b9599ff3c1d7f5a2f9b0b4e9641141bdf9f,009_progaddmanuf_2021_316l_residual_stress_fatigue_strength,,canonical,pdf_title_only,0.6906,False,True,True,True,Manifest records metadata only; the PDF itself is not included.
010,010_progaddmanuf_2024_aisi_h13_pbf_ebm_lbm_fatigue_behavior,On the fatigue behavior of a tool steel manufactured by powder bed based additive manufacturing—a comparison between electron- and laserbeam processed AISI H13,Progress in Additive Manufacturing,2024,10.1007/s40964-024-00581-5,https://doi.org/10.1007/s40964-024-00581-5,,unknown,,010_progaddmanuf_2024_aisi_h13_pbf_ebm_lbm_fatigue_behavior.pdf.pdf,8892490,ba9c31a86dee29e5953c447e7d78002058dc7f1ec2d73df8966f183839cfd55c,010_progaddmanuf_2024_aisi_h13_pbf_ebm_lbm_fatigue_behavior,,canonical,pdf_title_only,0.5924,False,True,True,True,Manifest records metadata only; the PDF itself is not included.
